ダウンロードした時刻：2020/05/05 08:08:38

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡,豊岡
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,6.1,8,1,9.4,8,1,2.3,8,1,3.5,8,1,9.6,8,1,-1.1,8,1
2019/1/2,6.1,8,1,10.2,8,1,3.7,8,1,2.9,8,1,5.4,8,1,0.9,8,1
2019/1/3,6.0,8,1,10.3,8,1,3.4,8,1,2.2,8,1,4.1,8,1,0.1,8,1
2019/1/4,7.0,8,1,10.0,8,1,2.4,8,1,4.3,8,1,10.6,8,1,1.3,8,1
2019/1/5,9.4,8,1,12.1,8,1,7.5,8,1,5.8,8,1,8.6,8,1,3.8,8,1
2019/1/6,6.0,8,1,8.2,8,1,4.0,8,1,4.5,8,1,6.7,8,1,2.2,8,1
2019/1/7,6.5,8,1,10.3,8,1,2.9,8,1,4.6,8,1,9.4,8,1,1.5,8,1
2019/1/8,8.7,8,1,11.5,8,1,5.8,8,1,5.6,8,1,12.0,8,1,1.1,8,1
2019/1/9,5.0,8,1,7.6,8,1,2.7,8,1,3.6,8,1,5.1,8,1,0.4,8,1
2019/1/10,5.0,8,1,7.6,8,1,1.5,8,1,2.0,8,1,5.5,8,1,-2.1,8,1
2019/1/11,8.3,8,1,12.4,8,1,5.7,8,1,5.4,8,1,10.0,8,1,3.2,8,1
2019/1/12,6.6,8,1,8.4,8,1,5.1,8,1,3.3,8,1,7.3,8,1,0.9,8,1
2019/1/13,7.3,8,1,12.2,8,1,3.1,8,1,4.3,8,1,10.9,8,1,0.6,8,1
2019/1/14,7.4,8,1,10.8,8,1,3.5,8,1,3.8,8,1,11.3,8,1,-0.4,8,1
2019/1/15,7.4,8,1,9.9,8,1,5.1,8,1,5.3,8,1,12.3,8,1,-0.8,8,1
2019/1/16,7.0,8,1,10.6,8,1,4.6,8,1,3.3,8,1,8.4,8,1,1.8,8,1
2019/1/17,7.0,8,1,10.0,8,1,3.5,8,1,4.5,8,1,9.7,8,1,0.9,8,1
2019/1/18,6.4,8,1,8.9,8,1,4.6,8,1,3.7,8,1,5.4,8,1,2.7,8,1
2019/1/19,7.4,8,1,11.3,8,1,3.6,8,1,6.2,8,1,13.5,8,1,2.5,8,1
2019/1/20,8.7,8,1,12.4,8,1,6.7,8,1,6.3,8,1,9.8,8,1,2.4,8,1
2019/1/21,7.1,8,1,10.4,8,1,3.8,8,1,3.7,8,1,6.5,8,1,1.7,8,1
2019/1/22,7.5,8,1,11.4,8,1,4.4,8,1,3.7,8,1,7.6,8,1,1.4,8,1
2019/1/23,8.4,8,1,12.0,8,1,3.5,8,1,5.5,8,1,12.4,8,1,0.0,8,1
2019/1/24,6.3,8,1,9.4,8,1,4.0,8,1,5.1,8,1,7.6,8,1,3.0,8,1
2019/1/25,6.7,8,1,8.7,8,1,4.4,8,1,5.3,8,1,9.1,8,1,1.4,8,1
2019/1/26,3.5,8,1,6.8,8,1,1.0,8,1,2.2,8,1,4.4,8,1,0.4,8,1
2019/1/27,4.5,8,1,8.6,8,1,1.3,8,1,3.9,8,1,8.4,8,1,0.5,8,1
2019/1/28,6.4,8,1,10.5,8,1,2.8,8,1,3.2,8,1,7.5,8,1,-1.2,8,1
2019/1/29,4.9,8,1,8.1,8,1,2.7,8,1,4.4,8,1,7.1,8,1,0.0,8,1
2019/1/30,6.2,8,1,9.8,8,1,2.4,8,1,3.6,8,1,12.1,8,1,-1.7,8,1
2019/1/31,6.6,8,1,8.0,8,1,4.1,8,1,3.6,8,1,6.5,8,1,1.7,8,1
2019/2/1,4.8,8,1,7.7,8,1,2.1,8,1,3.5,8,1,6.2,8,1,1.8,8,1
2019/2/2,6.8,8,1,10.9,8,1,3.3,8,1,4.4,8,1,12.3,8,1,-1.4,8,1
2019/2/3,8.4,8,1,12.6,8,1,4.1,8,1,6.4,8,1,14.9,8,1,-0.6,8,1
2019/2/4,11.0,8,1,14.8,8,1,7.3,8,1,9.1,8,1,15.2,8,1,4.5,8,1
2019/2/5,8.9,8,1,11.4,8,1,4.9,8,1,5.8,8,1,13.2,8,1,1.2,8,1
2019/2/6,9.4,8,1,12.0,8,1,7.7,8,1,8.0,8,1,14.7,8,1,4.1,8,1
2019/2/7,10.8,8,1,14.0,8,1,7.4,8,1,7.1,8,1,14.6,8,1,1.9,8,1
2019/2/8,6.7,8,1,10.2,8,1,3.9,8,1,3.2,8,1,6.0,8,1,1.5,8,1
2019/2/9,5.2,8,1,7.7,8,1,3.3,8,1,3.5,8,1,7.4,8,1,1.5,8,1
2019/2/10,4.3,8,1,7.1,8,1,2.8,8,1,2.5,8,1,5.1,8,1,-0.6,8,1
2019/2/11,4.2,8,1,6.3,8,1,2.2,8,1,3.3,8,1,9.2,8,1,-0.2,8,1
2019/2/12,6.1,8,1,9.7,8,1,3.2,8,1,3.9,8,1,7.9,8,1,1.0,8,1
2019/2/13,7.5,8,1,11.5,8,1,4.7,8,1,4.3,8,1,7.2,8,1,2.5,8,1
2019/2/14,4.9,8,1,7.3,8,1,3.2,8,1,1.7,8,1,4.7,8,1,0.8,8,1
2019/2/15,4.8,8,1,7.0,8,1,1.7,8,1,4.8,8,1,10.7,8,1,0.4,8,1
2019/2/16,8.1,8,1,13.2,8,1,5.4,8,1,4.2,8,1,5.6,8,1,1.9,8,1
2019/2/17,5.8,8,1,7.8,8,1,4.0,8,1,3.0,8,1,6.8,8,1,0.7,8,1
2019/2/18,7.1,8,1,10.8,8,1,1.9,8,1,5.1,8,1,12.6,8,1,0.7,8,1
2019/2/19,9.9,8,1,12.6,8,1,7.4,8,1,9.9,8,1,15.6,8,1,4.6,8,1
2019/2/20,13.1,8,1,17.7,8,1,9.2,8,1,9.8,8,1,13.5,8,1,6.5,8,1
2019/2/21,8.0,8,1,10.0,8,1,6.4,8,1,7.0,8,1,8.3,8,1,4.7,8,1
2019/2/22,9.1,8,1,11.7,8,1,5.8,8,1,5.8,8,1,11.4,8,1,0.7,8,1
2019/2/23,9.3,8,1,13.5,8,1,5.9,8,1,7.5,8,1,11.3,8,1,3.0,8,1
2019/2/24,8.5,8,1,12.0,8,1,4.7,8,1,5.7,8,1,15.2,8,1,-0.1,8,1
2019/2/25,10.9,8,1,15.6,8,1,6.2,8,1,7.6,8,1,16.1,8,1,-0.1,8,1
2019/2/26,10.2,8,1,14.7,8,1,6.7,8,1,7.1,8,1,11.5,8,1,1.3,8,1
2019/2/27,9.3,8,1,12.0,8,1,5.5,8,1,5.4,8,1,11.5,8,1,-0.2,8,1
2019/2/28,10.7,8,1,11.6,8,1,9.4,8,1,7.7,8,1,10.1,8,1,5.6,8,1
2019/3/1,10.4,8,1,12.8,8,1,8.1,8,1,7.4,8,1,12.9,8,1,2.8,8,1
2019/3/2,9.8,8,1,13.4,8,1,5.7,8,1,5.9,8,1,13.3,8,1,0.7,8,1
2019/3/3,10.9,8,1,12.8,8,1,9.0,8,1,7.7,8,1,12.5,8,1,4.0,8,1
2019/3/4,10.3,8,1,12.1,8,1,8.5,8,1,7.8,8,1,9.0,8,1,5.3,8,1
2019/3/5,11.0,8,1,13.9,8,1,7.4,8,1,7.4,8,1,14.8,8,1,1.2,8,1
2019/3/6,11.9,8,1,16.3,8,1,10.2,8,1,8.9,8,1,15.2,8,1,5.4,8,1
2019/3/7,9.7,8,1,12.4,8,1,6.1,8,1,7.9,8,1,10.5,8,1,4.4,8,1
2019/3/8,7.8,8,1,12.5,8,1,4.5,8,1,6.5,8,1,10.8,8,1,0.7,8,1
2019/3/9,9.8,8,1,14.6,8,1,4.2,8,1,7.7,8,1,18.0,8,1,-1.8,8,1
2019/3/10,11.9,8,1,13.3,8,1,10.2,8,1,10.1,8,1,14.8,8,1,6.3,8,1
2019/3/11,12.9,8,1,17.2,8,1,9.7,8,1,9.7,8,1,12.5,8,1,6.2,8,1
2019/3/12,11.4,8,1,14.6,8,1,7.5,8,1,8.2,8,1,14.5,8,1,4.3,8,1
2019/3/13,9.1,8,1,11.8,8,1,5.6,8,1,5.1,8,1,9.6,8,1,2.1,8,1
2019/3/14,7.5,8,1,10.9,8,1,4.4,8,1,4.7,8,1,10.9,8,1,1.6,8,1
2019/3/15,9.2,8,1,14.4,8,1,3.9,8,1,4.8,8,1,12.6,8,1,-0.9,8,1
2019/3/16,8.4,8,1,13.0,8,1,3.3,8,1,4.6,8,1,8.7,8,1,1.9,8,1
2019/3/17,8.0,8,1,12.7,8,1,5.7,8,1,5.2,8,1,9.8,8,1,2.3,8,1
2019/3/18,9.0,8,1,14.4,8,1,3.9,8,1,8.3,8,1,16.4,8,1,2.3,8,1
2019/3/19,11.7,8,1,14.8,8,1,8.6,8,1,9.8,8,1,15.1,8,1,5.5,8,1
2019/3/20,13.1,8,1,17.4,8,1,8.5,8,1,12.6,8,1,22.0,8,1,4.0,8,1
2019/3/21,16.5,8,1,18.4,8,1,13.4,8,1,18.1,8,1,24.1,8,1,13.8,8,1
2019/3/22,12.0,8,1,17.5,8,1,6.8,8,1,9.4,8,1,16.2,8,1,6.9,8,1
2019/3/23,7.7,8,1,12.1,8,1,4.9,8,1,5.9,8,1,9.2,8,1,1.3,8,1
2019/3/24,8.0,8,1,11.4,8,1,4.5,8,1,5.1,8,1,10.0,8,1,0.9,8,1
2019/3/25,10.2,8,1,13.9,8,1,5.5,8,1,8.3,8,1,15.4,8,1,1.0,8,1
2019/3/26,13.0,8,1,17.0,8,1,9.3,8,1,9.8,8,1,17.1,8,1,3.5,8,1
2019/3/27,13.5,8,1,16.9,8,1,8.7,8,1,13.3,8,1,22.9,8,1,3.7,8,1
2019/3/28,13.6,8,1,17.0,8,1,8.4,8,1,8.8,8,1,16.6,8,1,4.2,8,1
2019/3/29,11.8,8,1,16.5,8,1,7.7,8,1,8.9,8,1,17.9,8,1,2.3,8,1
2019/3/30,13.1,8,1,16.1,8,1,10.7,8,1,10.1,8,1,18.6,8,1,5.8,8,1
2019/3/31,10.4,8,1,12.2,8,1,8.2,8,1,6.8,8,1,10.5,8,1,4.4,8,1
2019/4/1,7.9,8,1,12.3,8,1,4.5,8,1,4.9,8,1,9.7,8,1,1.8,8,1
2019/4/2,7.3,8,1,13.1,8,1,3.6,8,1,3.7,8,1,8.2,8,1,0.3,8,1
2019/4/3,8.6,8,1,12.9,8,1,4.2,8,1,5.9,8,1,12.1,8,1,1.5,8,1
2019/4/4,10.7,8,1,15.7,8,1,5.7,8,1,9.1,8,1,19.2,8,1,-0.4,8,1
2019/4/5,14.4,8,1,18.3,8,1,9.6,8,1,13.9,8,1,24.2,8,1,4.7,8,1
2019/4/6,15.7,8,1,19.7,8,1,11.9,8,1,12.8,8,1,18.0,8,1,7.9,8,1
2019/4/7,16.1,8,1,22.0,8,1,11.7,8,1,12.0,8,1,20.8,8,1,4.9,8,1
2019/4/8,14.6,8,1,19.8,8,1,10.6,8,1,12.5,8,1,19.4,8,1,9.0,8,1
2019/4/9,12.0,8,1,15.9,8,1,7.8,8,1,10.3,8,1,14.5,8,1,5.5,8,1
2019/4/10,9.9,8,1,12.0,8,1,7.6,8,1,7.2,8,1,9.1,8,1,4.3,8,1
2019/4/11,11.1,8,1,14.8,8,1,8.8,8,1,9.2,8,1,12.7,8,1,5.6,8,1
2019/4/12,12.1,8,1,15.7,8,1,9.4,8,1,8.6,8,1,15.3,8,1,3.7,8,1
2019/4/13,12.5,8,1,16.5,8,1,7.9,8,1,9.6,8,1,17.0,8,1,1.5,8,1
2019/4/14,13.7,8,1,16.3,8,1,12.5,8,1,11.5,8,1,14.6,8,1,7.9,8,1
2019/4/15,14.1,8,1,18.2,8,1,10.6,8,1,11.5,8,1,16.4,8,1,5.6,8,1
2019/4/16,14.2,8,1,20.3,8,1,8.5,8,1,11.8,8,1,23.4,8,1,2.0,8,1
2019/4/17,16.4,8,1,20.9,8,1,13.2,8,1,14.8,8,1,23.9,8,1,7.1,8,1
2019/4/18,16.3,8,1,20.4,8,1,12.3,8,1,15.8,8,1,25.0,8,1,7.8,8,1
2019/4/19,17.4,8,1,22.1,8,1,13.2,8,1,11.6,8,1,13.3,8,1,7.1,8,1
2019/4/20,15.0,8,1,20.2,8,1,9.9,8,1,11.4,8,1,20.1,8,1,5.1,8,1
2019/4/21,19.4,8,1,23.1,8,1,16.0,8,1,15.8,8,1,24.8,8,1,7.9,8,1
2019/4/22,20.6,8,1,25.6,8,1,16.4,8,1,15.6,8,1,21.5,8,1,9.9,8,1
2019/4/23,19.5,8,1,23.9,8,1,16.0,8,1,17.9,8,1,28.8,8,1,7.5,8,1
2019/4/24,20.2,8,1,22.1,8,1,18.3,8,1,19.1,8,1,22.0,8,1,16.5,8,1
2019/4/25,19.8,8,1,23.3,8,1,17.6,8,1,16.9,8,1,18.9,8,1,14.3,8,1
2019/4/26,18.4,8,1,23.0,8,1,13.6,8,1,12.8,8,1,14.8,8,1,9.7,8,1
2019/4/27,11.9,8,1,15.9,8,1,9.6,8,1,10.3,8,1,13.5,8,1,5.9,8,1
2019/4/28,12.7,8,1,16.0,8,1,8.0,8,1,9.6,8,1,16.1,8,1,3.4,8,1
2019/4/29,14.5,8,1,17.7,8,1,11.5,8,1,11.3,8,1,17.0,8,1,5.3,8,1
2019/4/30,17.5,8,1,20.7,8,1,11.8,8,1,14.8,8,1,20.5,8,1,11.3,8,1
2019/5/1,16.9,8,1,18.2,8,1,15.8,8,1,15.0,8,1,16.7,8,1,13.6,8,1
2019/5/2,18.1,8,1,21.3,8,1,15.1,8,1,16.1,8,1,21.6,8,1,11.8,8,1
2019/5/3,19.3,8,1,23.8,8,1,15.4,8,1,15.8,8,1,24.7,8,1,9.2,8,1
2019/5/4,19.6,8,1,24.5,8,1,14.2,8,1,16.4,8,1,24.3,8,1,9.6,8,1
2019/5/5,19.4,8,1,23.9,8,1,15.6,8,1,18.6,8,1,29.3,8,1,7.6,8,1
2019/5/6,18.4,8,1,22.8,8,1,13.7,8,1,16.4,8,1,25.4,8,1,9.0,8,1
2019/5/7,15.0,8,1,19.8,8,1,11.0,8,1,11.6,8,1,17.8,8,1,6.8,8,1
2019/5/8,15.9,8,1,21.7,8,1,10.3,8,1,13.8,8,1,24.2,8,1,3.9,8,1
2019/5/9,17.9,8,1,20.4,8,1,15.5,8,1,16.7,8,1,25.4,8,1,10.5,8,1
2019/5/10,19.8,8,1,25.0,8,1,14.6,8,1,16.8,8,1,25.2,8,1,8.7,8,1
2019/5/11,21.5,8,1,27.7,8,1,15.9,8,1,16.7,8,1,26.5,8,1,8.6,8,1
2019/5/12,20.8,8,1,25.3,8,1,16.3,8,1,15.6,8,1,24.3,8,1,7.8,8,1
2019/5/13,21.0,8,1,25.0,8,1,18.5,8,1,18.8,8,1,28.9,8,1,10.0,8,1
2019/5/14,20.0,8,1,23.6,8,1,17.4,8,1,20.1,8,1,23.2,8,1,15.1,8,1
2019/5/15,21.0,8,1,26.5,8,1,17.1,8,1,19.7,8,1,27.4,8,1,12.7,8,1
2019/5/16,21.4,8,1,26.1,8,1,18.1,8,1,20.5,8,1,28.9,8,1,13.3,8,1
2019/5/17,21.7,8,1,25.7,8,1,17.7,8,1,23.0,8,1,30.6,8,1,14.7,8,1
2019/5/18,21.5,8,1,23.9,8,1,19.6,8,1,21.6,8,1,24.8,8,1,18.1,8,1
2019/5/19,22.1,8,1,26.4,8,1,19.1,8,1,22.9,8,1,28.3,8,1,18.8,8,1
2019/5/20,21.5,8,1,25.1,8,1,19.4,8,1,21.7,8,1,27.3,8,1,17.4,8,1
2019/5/21,21.2,8,1,25.1,8,1,18.2,8,1,18.5,8,1,23.8,8,1,12.2,8,1
2019/5/22,21.2,8,1,25.8,8,1,16.1,8,1,17.4,8,1,26.6,8,1,8.8,8,1
2019/5/23,21.8,8,1,26.6,8,1,16.9,8,1,19.1,8,1,30.4,8,1,9.4,8,1
2019/5/24,23.3,8,1,29.1,8,1,18.6,8,1,20.5,8,1,30.7,8,1,12.5,8,1
2019/5/25,25.0,8,1,31.7,8,1,20.2,8,1,22.9,8,1,33.9,8,1,13.9,8,1
